600146,30.79 ,32.70,29.73,涨幅：9.99%
600180,23.85 ,26.35,23.95,涨幅：10.02%
600207,12.60 ,13.96,12.69,涨幅：10.01%
600210, 7.67 , 7.67, 6.97,涨幅：10.04%
600283,14.91 ,14.91,13.55,涨幅：10.04%
600318,22.70 ,22.70,20.64,涨幅：9.98%
600330,12.78 ,14.19,12.90,涨幅：10.0%
600393, 9.15 , 9.15, 8.32,涨幅：9.98%
600395, 7.31 , 8.14, 7.40,涨幅：10.0%
600405,14.05 ,15.58,14.16,涨幅：10.03%
600449,10.23 ,11.25,10.23,涨幅：9.97%
600520,19.10 ,21.38,19.44,涨幅：9.98%
600551,21.00 ,21.04,19.13,涨幅：9.98%
600570,71.05 ,78.27,71.15,涨幅：10.01%
600599,38.38 ,38.38,34.89,涨幅：10.0%
600635,10.67 ,10.67, 9.70,涨幅：10.0%
600678,17.05 ,18.40,16.73,涨幅：9.98%
600680,47.10 ,52.14,47.40,涨幅：10.0%
600716, 9.28 , 9.87, 8.97,涨幅：10.03%
600737,17.35 ,19.27,17.52,涨幅：9.99%
600783,32.27 ,32.27,29.34,涨幅：9.99%
600841,12.92 ,14.39,13.08,涨幅：10.02%
600858,10.03 ,10.03, 9.12,涨幅：9.98%
600866, 7.41 , 8.23, 7.48,涨幅：10.03%
601007,15.50 ,16.71,15.19,涨幅：10.01%
601113, 7.28 , 8.00, 7.27,涨幅：10.04%
601198,26.40 ,26.40,24.00,涨幅：10.0%
601519,15.42 ,15.42,14.02,涨幅：9.99%
601599,25.50 ,26.42,24.02,涨幅：9.99%
601998, 7.20 , 7.66, 6.96,涨幅：10.06%
603010,40.60 ,44.91,40.83,涨幅：9.99%
603600,84.00 ,91.59,83.26,涨幅：10.0%
603636,68.00 ,76.07,69.15,涨幅：10.01%
603686,36.41 ,40.07,36.43,涨幅：9.99%
603918,64.77 ,71.25,64.77,涨幅：10.0%
603997,29.99 ,31.01,28.19,涨幅：10.0%
